   2.0760000e+04  -2.4070179e-12  -1.6090515e-06
   2.0760010e+04  -2.4772669e-08  -3.3450009e-06
   2.0760020e+04  -6.5317373e-08  -4.7639398e-06
   2.0760030e+04  -1.1529631e-07  -5.2318473e-06
   2.0760040e+04  -1.7058834e-07  -5.8265589e-06
   2.0760050e+04  -2.3531460e-07  -7.1186936e-06
   2.0760060e+04  -3.1232819e-07  -8.2840241e-06
   2.0760070e+04  -4.0004405e-07  -9.2591483e-06
   2.0760080e+04  -5.0004724e-07  -1.0741489e-05
   2.0760090e+04  -6.1709291e-07  -1.2667645e-05
   2.0760100e+04  -7.5181509e-07  -1.4276790e-05
   2.0760110e+04  -8.9882459e-07  -1.5125110e-05
   2.0760120e+04  -1.0517812e-06  -1.5466213e-05
   2.0760130e+04  -1.2097339e-06  -1.6124327e-05
   2.0760140e+04  -1.3787059e-06  -1.7670070e-05
   2.0760150e+04  -1.5640863e-06  -1.9406020e-05
   2.0760160e+04  -1.7658753e-06  -2.0951763e-05
   2.0760170e+04  -1.9831216e-06  -2.2497506e-05
   2.0760180e+04  -2.2145573e-06  -2.3789640e-05
   2.0760190e+04  -2.4566953e-06  -2.4637960e-05
   2.0760200e+04  -2.7063655e-06  -2.5296074e-05
   2.0760210e+04  -2.9638849e-06  -2.6207796e-05
   2.0760220e+04  -3.2346426e-06  -2.7943746e-05
   2.0760230e+04  -3.5243448e-06  -2.9996706e-05
   2.0760240e+04  -3.8336256e-06  -3.1859459e-05
   2.0760250e+04  -4.1605830e-06  -3.3532006e-05
   2.0760260e+04  -4.5007787e-06  -3.4507131e-05
   2.0760270e+04  -4.8481895e-06  -3.4975038e-05
   2.0760280e+04  -5.2028155e-06  -3.5950162e-05
   2.0760290e+04  -5.5703629e-06  -3.7559307e-05
   2.0760300e+04  -5.9549527e-06  -3.9358659e-05
   2.0760310e+04  -6.3572190e-06  -4.1094608e-05
   2.0760320e+04  -6.7749428e-06  -4.2450145e-05
   2.0760330e+04  -7.2036858e-06  -4.3298465e-05
   2.0760340e+04  -7.6399611e-06  -4.3956579e-05
   2.0760350e+04  -8.0850365e-06  -4.5058507e-05
   2.0760360e+04  -8.5452523e-06  -4.6984663e-05
   2.0760370e+04  -9.0269488e-06  -4.9354633e-05
   2.0760380e+04  -9.5304429e-06  -5.1344191e-05
